__UUID4__;44e53045-3338-4a42-acb8-a38a5817b84b
__CREATED-ON__;2021-01-13 13:38:54.295762
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
INFO;2021-01-13 13:38:54.295762;;;SERIAL-PORT;COM5
INFO;2021-01-13 13:38:54.295762;;;PROTOCOL-NAME;Run_BehaviorTest
INFO;2021-01-13 13:38:54.295762;;;CREATOR-NAME;["Changwoo", "a52045d4-abcf-449c-80d8-4ccbb53886e3", "local"]
INFO;2021-01-13 13:38:54.295762;;;PROJECT-NAME;Untitled project 1
INFO;2021-01-13 13:38:54.295762;;;EXPERIMENT-NAME;test
INFO;2021-01-13 13:38:54.295762;;;BOARD-NAME;Box1_Bpod1
INFO;2021-01-13 13:38:54.296759;;;SETUP-NAME;test setup
INFO;2021-01-13 13:38:54.296759;;;BPOD-GUI-VERSION;
INFO;2021-01-13 13:38:54.296759;;;NET-PORT;36000
INFO;2021-01-13 13:38:54.296759;;;SUBJECT-NAME;['1108_NTS', '3f70cf51-e082-4e03-9bf8-6f9cc483b60c']
INFO;2021-01-13 13:38:54.732594;;;This is a PYBPOD file. Find more info at http://pybpod.readthedocs.io;
INFO;2021-01-13 13:38:54.732594;;;BPOD-API-VERSION;1.8.2
INFO;2021-01-13 13:38:54.732594;;;SESSION-NAME;20210113-133853
INFO;2021-01-13 13:38:54.732594;;;SESSION-STARTED;2021-01-13 13:38:54.294765
TRIAL;2021-01-13 13:38:54.732594;;;New trial;
EVENT;2021-01-13 13:38:55.238242;0.5;;158;Tup
END-TRIAL;2021-01-13 13:38:55.238242;;;The trial ended;
INFO;2021-01-13 13:38:55.239239;0.332978;0.832983;TRIAL-BPOD-TIME;0.500005
STATE;2021-01-13 13:38:55.239239;0;0.5;BNC1_CameraON;0.5
TRIAL;2021-01-13 13:38:55.241234;;;New trial;
EVENT;2021-01-13 13:39:02.207604;6.960500000000001;;95;Port1Out
EVENT;2021-01-13 13:39:02.337257;7.0911;;94;Port1In
EVENT;2021-01-13 13:39:02.486857;7.2395000000000005;;95;Port1Out
EVENT;2021-01-13 13:39:02.513785;7.2663;;94;Port1In
EVENT;2021-01-13 13:39:02.836921;7.589600000000001;;95;Port1Out
EVENT;2021-01-13 13:39:02.869833;7.6229000000000005;;94;Port1In
EVENT;2021-01-13 13:39:03.018435;7.7713;;95;Port1Out
EVENT;2021-01-13 13:39:03.062318;7.816000000000001;;94;Port1In
EVENT;2021-01-13 13:39:11.049957;15.803600000000001;;95;Port1Out
EVENT;2021-01-13 13:39:11.143706;15.896600000000001;;94;Port1In
EVENT;2021-01-13 13:39:11.256404;16.009600000000002;;95;Port1Out
EVENT;2021-01-13 13:39:11.344170;16.0978;;94;Port1In
EVENT;2021-01-13 13:39:15.247730;20.0;;158;Tup
TRANSITION;2021-01-13 13:39:15.247730;20.0;;trial_start;
SOFTCODE;2021-01-13 13:39:15.247730;;;1;
EVENT;2021-01-13 13:39:15.667641;20.4204;;90;BNC1High
EVENT;2021-01-13 13:39:15.677581;20.4299;;91;BNC1Low
EVENT;2021-01-13 13:39:15.677581;20.4301;;90;BNC1High
EVENT;2021-01-13 13:39:15.677581;20.4302;;91;BNC1Low
EVENT;2021-01-13 13:39:15.906968;20.660400000000003;;95;Port1Out
EVENT;2021-01-13 13:39:15.958829;20.7114;;94;Port1In
TRANSITION;2021-01-13 13:39:15.958829;20.7114;;open_valve;
EVENT;2021-01-13 13:39:16.008697;20.761400000000002;;158;Tup
END-TRIAL;2021-01-13 13:39:16.008697;;;The trial ended;
INFO;2021-01-13 13:39:16.008697;0.841478;21.602881;TRIAL-BPOD-TIME;20.761403
STATE;2021-01-13 13:39:16.008697;0;20.0;ITI;20.0
STATE;2021-01-13 13:39:16.008697;20.0;20.7114;trial_start;0.7114000000000011
STATE;2021-01-13 13:39:16.008697;20.7114;20.761400000000002;open_valve;0.05000000000000071
TRIAL;2021-01-13 13:39:16.010691;;;New trial;
EVENT;2021-01-13 13:39:16.046596;0.0302;;95;Port1Out
EVENT;2021-01-13 13:39:16.142339;0.1269;;94;Port1In
EVENT;2021-01-13 13:39:16.232098;0.2164;;95;Port1Out
EVENT;2021-01-13 13:39:16.274983;0.2596;;94;Port1In
EVENT;2021-01-13 13:39:16.370727;0.3544;;95;Port1Out
EVENT;2021-01-13 13:39:16.418106;0.40230000000000005;;94;Port1In
EVENT;2021-01-13 13:39:16.549262;0.534;;95;Port1Out
EVENT;2021-01-13 13:39:16.583171;0.5672;;94;Port1In
EVENT;2021-01-13 13:39:16.680909;0.6657000000000001;;95;Port1Out
EVENT;2021-01-13 13:39:16.739782;0.7233;;94;Port1In
EVENT;2021-01-13 13:39:16.850457;0.8349000000000001;;95;Port1Out
EVENT;2021-01-13 13:39:16.913288;0.8975000000000001;;94;Port1In
EVENT;2021-01-13 13:39:19.472444;3.4563;;95;Port1Out
EVENT;2021-01-13 13:39:19.520316;3.5041;;94;Port1In
EVENT;2021-01-13 13:39:28.938131;12.922;;95;Port1Out
EVENT;2021-01-13 13:39:28.976030;12.9601;;94;Port1In
EVENT;2021-01-13 13:39:29.080749;13.064300000000001;;95;Port1Out
EVENT;2021-01-13 13:39:29.166520;13.1509;;94;Port1In
EVENT;2021-01-13 13:39:29.302157;13.2864;;95;Port1Out
EVENT;2021-01-13 13:39:29.334071;13.318100000000001;;94;Port1In
EVENT;2021-01-13 13:39:29.504615;13.4884;;95;Port1Out
EVENT;2021-01-13 13:39:29.523564;13.507200000000001;;94;Port1In
EVENT;2021-01-13 13:39:41.495549;25.4795;;95;Port1Out
EVENT;2021-01-13 13:39:41.529458;25.512900000000002;;94;Port1In
EVENT;2021-01-13 13:39:46.890122;30.8743;;95;Port1Out
EVENT;2021-01-13 13:39:47.040719;31.0244;;94;Port1In
EVENT;2021-01-13 13:39:47.144441;31.128500000000003;;95;Port1Out
EVENT;2021-01-13 13:39:47.205279;31.189500000000002;;94;Port1In
EVENT;2021-01-13 13:39:56.016716;40.0;;158;Tup
TRANSITION;2021-01-13 13:39:56.016716;40.0;;trial_start;
SOFTCODE;2021-01-13 13:39:56.016716;;;1;
EVENT;2021-01-13 13:39:56.443720;40.4274;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4369;;91;BNC1Low
EVENT;2021-01-13 13:39:56.453694;40.437000000000005;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4371;;91;BNC1Low
EVENT;2021-01-13 13:39:56.453694;40.437200000000004;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4373;;91;BNC1Low
EVENT;2021-01-13 13:39:56.666285;40.6501;;95;Port1Out
EVENT;2021-01-13 13:39:56.713123;40.6965;;94;Port1In
TRANSITION;2021-01-13 13:39:56.713123;40.6965;;open_valve;
